type,exclude,date,date_end,what,what_translation,institution,department,where,additional_info,additional_info2,url,slides,video,short_cv,order,academic,professional_2_page,website,one_column_paged,brief_no_pubs,humanities,humanities_description
media,NA,10/23/18,NA,"Our paper ""Third Party Tracking in the Mobile Ecosystem"" [C2] covered in the [Financial Times](https://ig.ft.com/mobile-app-data-trackers/), [BBC](https://www.bbc.co.uk/news/technology-45952466), [The Times](https://www.thetimes.co.uk/article/personal-data-harvesting-by-mobile-phone-apps-is-out-of-control-pb2m2kwkj), [Business Insider](https://www.businessinsider.com/google-and-facebook-big-data-apps-oxford-study-finds-2018-10?r=UK&IR=T), and more",NA,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
position,NA,7/1/20,present,Visiting researcher,NA,NA,NA,"Dept. of Computer Science, University of Copenhagen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
work,NA,2/1/20,present,Lecturer in Data Analytics,NA,NA,NA,"[School of Business, SUNY Geneseo](https://www.geneseo.edu/business/)",I teach data analytics for undergraduate students.,NA,NA,NA,NA,NA,NA,NA,y,NA,NA,y,NA,NA
technical,NA,NA,NA,"Programming, data analysis and visualisation",NA,NA,NA,NA,"in R (tidyverse), Python, and D3.js",NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
technical,NA,NA,NA,Reproducible research,NA,NA,NA,NA,"with R Markdown (bookdown, xaringan, pagedown) + LaTeX + HTML",NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
technical,NA,NA,NA,Web development,NA,NA,NA,NA,"(HTML, CSS, JavaScript, Hugo, blogdown, Jekyll, GitHub Pages, Netlify)",NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
volunteering,NA,2/1/17,2/1/19,Computer Science Ambassador,NA,NA,NA,"Dept. of Computer Science, University of Oxford",I gave regular talks about my group's and my personal research to 14-18 year old students from schools in the UK visiting the Dept. of Computer Science,NA,NA,NA,NA,NA,2,NA,y,NA,NA,NA,NA,NA
volunteering,NA,4/30/17,present,Founding Band Member,NA,NA,NA,[The Karaoke Collective](https://karaokecollective.com),"Inventor, MC and drummer; the KC is a group of seasoned musicians in Oxford and London where we blend the fun of karaoke with the magic of a live band.",NA,NA,NA,NA,NA,1,n,y,NA,NA,NA,NA,NA
volunteering,NA,10/1/13,6/1/16,Interview Coach,NA,NA,NA,"[Oxbridge Interviews, Oxfizz](https://oxfizz.org/)",Provided interview training to 30+ teenagers from families not traditionally going to university wishing to apply to Oxford or Cambridge,NA,NA,NA,NA,NA,3,n,y,NA,NA,NA,NA,NA
volunteering,NA,2/1/17,2/1/19,"Steering committee member, Oxford Scandinavian Society",NA,NA,NA,"Co-organiser of 'sittnings' (traditional Scandinavian dinner- and drinking parties), movie nights, summer BBQs and more. Webmaster at oxfordscandinavian.com",NA,NA,NA,NA,NA,NA,4,n,NA,NA,NA,NA,NA,NA
volunteering,NA,1/1/17,4/30/17,"Head of Entertainment, Linacre College Ball",NA,NA,NA,"Planned, contracted, and produced 15+ acts, including a 30-piece swing band, funk orchestra, live karaoke, glitter fairy, space hopper race, treasure hunt and drumming DJ",NA,NA,NA,NA,NA,NA,5,n,NA,NA,NA,NA,NA,NA
teaching,NA,9/23/21,NA,"Instructor, [Data Visualization and Presentation](https://bcdanl.github.io/)",NA,NA,NA,SUNY Geneseo,Taught for reproducible data visualization and paper writing on the web.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
